Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.266,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.563,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.797,TraderOne,Tick,0,3,-3,0,147600,,-44,441344,441344,OK
1.047,TraderOne,Tick,0,3,-3,3,147600,147100,-44,44,-556,OK
1.282,TraderOne,Tick,1,3,-2,2,147000,147100,-59,159,359,OK
1.547,TraderOne,Tick,1,3,-2,2,147000,147100,-59,159,359,OK
1.766,TraderOne,Tick,1,3,-2,2,147000,147100,-59,159,359,OK
2.032,TraderOne,Tick,1,3,-2,2,147000,147000,-59,159,159,OK
2.282,TraderOne,Tick,1,3,-2,2,147000,146900,-59,159,-41,OK
2.5,TraderOne,Tick,2,3,-1,2,146400,146900,-74,-146826,274,OK
2.766,TraderOne,Tick,2,3,-1,1,146400,146900,-74,-26,174,OK
3.0,TraderOne,Tick,2,3,-1,1,146400,146900,-74,-26,174,OK
3.266,TraderOne,Tick,2,3,-1,1,146400,146900,-74,-26,174,OK
3.469,TraderOne,Tick,2,17,-15,15,147500,146900,-280,180,-2820,OK
3.813,TraderOne,Tick,3,17,-14,14,146300,146900,-295,195,2995,OK
4.0,TraderOne,Tick,3,17,-14,14,146300,146900,-295,195,2995,OK
4.235,TraderOne,Tick,3,17,-14,14,146300,146900,-295,195,2995,OK
4.563,TraderOne,Tick,4,17,-13,13,146300,146900,-310,210,2810,OK
4.782,TraderOne,Tick,4,17,-13,13,146300,146900,-310,210,2810,OK
5.047,TraderOne,Tick,4,17,-13,13,146300,146900,-310,210,2810,OK
5.235,TraderOne,Tick,4,17,-13,13,146300,146800,-310,210,2810,OK
5.547,TraderOne,Tick,4,17,-13,13,146300,146800,-310,210,2810,OK
5.75,TraderOne,Tick,4,19,-15,15,147000,146800,-339,239,-2761,OK
6.032,TraderOne,Tick,4,29,-25,25,147000,146800,-45,-55,-5055,OK
6.25,TraderOne,Tick,4,39,-35,35,147000,146800,249,1651,-5349,OK
6.485,TraderOne,Tick,4,49,-45,45,147000,146800,543,4357,-4643,OK
6.766,TraderOne,Tick,4,59,-55,55,147200,146700,837,7063,-3937,OK
7.047,TraderOne,Tick,4,69,-65,65,147000,146900,1131,7769,1269,OK
7.235,TraderOne,Tick,4,79,-75,75,147000,146900,1425,6475,-1025,OK
7.547,TraderOne,Tick,4,89,-85,85,147000,146900,1719,6181,-2319,OK
7.735,TraderOne,Tick,4,89,-85,85,147000,146900,1719,6181,-2319,OK
8.0,TraderOne,Tick,4,89,-85,85,147000,146900,1719,6181,-2319,OK
8.266,TraderOne,Tick,13,89,-76,76,146300,146900,1587,8113,23313,OK
8.516,TraderOne,Tick,13,89,-76,76,146300,146900,1587,8113,23313,OK
8.797,TraderOne,Tick,13,89,-76,76,146300,146900,1587,8113,23313,OK
9.016,TraderOne,Tick,21,89,-68,68,146700,146900,1470,8230,21830,OK
9.297,TraderOne,Tick,28,89,-61,61,146400,146900,1675,10125,22325,OK
9.5,TraderOne,Tick,34,89,-55,55,146400,146900,1851,11749,22749,OK
9.75,TraderOne,Tick,40,89,-49,49,146400,146900,2027,12773,22573,OK
9.985,TraderOne,Tick,45,89,-44,44,146400,146900,2173,13127,21927,OK
10.219,TraderOne,Tick,49,89,-40,40,146400,146900,2290,13810,21810,OK
10.547,TraderOne,Tick,53,89,-36,36,146400,146900,2407,14893,22093,OK
10.75,TraderOne,Tick,57,89,-32,32,146400,147000,2524,16776,23176,OK
11.016,TraderOne,Tick,57,92,-35,35,147300,147000,2480,16220,9220,OK
11.297,TraderOne,Tick,57,92,-35,35,147300,147000,2480,16220,9220,OK
11.469,TraderOne,Tick,57,92,-35,35,147300,147000,2480,16220,9220,OK
11.797,TraderOne,Tick,57,102,-45,45,147400,147200,2333,16367,7367,OK
12.032,TraderOne,Tick,57,102,-45,45,147400,147200,2333,16367,7367,OK
12.219,TraderOne,Tick,57,102,-45,45,147400,147200,2333,16367,7367,OK
12.5,TraderOne,Tick,57,102,-45,45,147400,147200,2333,16367,7367,OK
12.75,TraderOne,Tick,57,102,-45,45,147400,147200,2333,16367,7367,OK
13.016,TraderOne,Tick,57,102,-45,45,147400,147200,2333,16367,7367,OK
13.235,TraderOne,Tick,61,102,-41,41,146700,147200,2274,16426,24626,OK
13.454,TraderOne,Tick,61,102,-41,41,146700,147200,2274,16426,24626,OK
13.704,TraderOne,Tick,61,102,-41,41,146700,147200,2274,16426,24626,OK
14.0,TraderOne,Tick,61,102,-41,41,146700,147200,2274,16426,24626,OK
14.219,TraderOne,Tick,61,102,-41,41,146700,147200,2274,16426,24626,OK
14.516,TraderOne,Tick,65,102,-37,37,146900,147200,2215,16885,24285,OK
14.719,TraderOne,Tick,69,102,-33,33,146900,147200,2333,16767,23367,OK
15.047,TraderOne,Tick,69,102,-33,33,146900,147200,2333,16767,23367,OK
15.266,TraderOne,Tick,69,102,-33,33,146900,147200,2333,16767,23367,OK
15.532,TraderOne,Tick,69,102,-33,33,146900,146800,2333,16767,13467,OK
15.704,TraderOne,Tick,69,102,-33,33,146900,146800,2333,16767,13467,OK
15.985,TraderOne,Tick,69,102,-33,33,146900,146900,2333,16767,16767,OK
16.204,TraderOne,Tick,69,102,-33,33,146900,146900,2333,16767,16767,OK
16.454,TraderOne,Tick,69,102,-33,33,146900,146900,2333,16767,16767,OK
16.719,TraderOne,Tick,69,102,-33,33,146900,146900,2333,16767,16767,OK
17.016,TraderOne,Tick,69,102,-33,33,146900,146900,2333,16767,16767,OK
